"ville_id","ville_departement","ville_nom","ville_nom_simple","ville_nom_reel","ville_code_postal","ville_code_commune","ville_arrondissement","ville_longitude_deg","ville_latitude_deg"
"200","01","SAINT-ANDRE-DE-BAGE","saint andre de bage","Saint-André-de-Bâgé","01380","01332","2","4.91667","46.3"
"201","01","PONT-DE-VAUX","pont de vaux","Pont-de-Vaux","01190","01305","2","4.93333","46.4333"
"202","01","AMBERIEU-EN-BUGEY","amberieu en bugey","Ambérieu-en-Bugey","01500","01004","1","5.35","45.95"
"203","01","PEYZIEUX-SUR-SAONE","peyzieux sur saone","Peyzieux-sur-Saône","01140","01295","2","4.81667","46.1167"
"204","01","CROZET","crozet","Crozet","01170","01135","3","6.01251","46.2806"
"205","01","SEYSSEL","seyssel","Seyssel","01420","01407","1","5.83194","45.9597"
"206","01","BEYNOST","beynost","Beynost","01700","01043","2","5","45.8333"
"207","01","VERSONNEX","versonnex","Versonnex","01210","01435","3","6.09723","46.3023"
"208","01","SAINT-LAURENT-SUR-SAONE","saint laurent sur saone","Saint-Laurent-sur-Saône","01620","01370","2","4.83333","46.3"
"209","01","ARTEMARE","artemare","Artemare","01510","01022","1","5.7","45.8667"
"210","01","MONTRACOL","montracol","Montracol","01310","01264","2","5.11667","46.1833"
"211","01","PARVES","parves","Parves","01300","01286","1","5.75","45.75"
"212","01","PUGIEU","pugieu","Pugieu","01510","01316","1","5.65","45.8167"
"213","01","VIRIEU-LE-GRAND","virieu le grand","Virieu-le-Grand","01510","01452","1","5.65","45.85"
"214","01","SAINT-REMY","saint remy","Saint-Rémy","01310","01385","2","5.16667","46.1833"
"215","01","RANCE","rance","Rancé","01390","01318","2","4.86667","45.9667"
"216","01","GRIEGES","grieges","Grièges","01290","01179","2","4.85","46.25"
"217","01","GRAND-CORENT","grand corent","Grand-Corent","01250","01177","2","5.43333","46.2"
"218","01","OUTRIAZ","outriaz","Outriaz","01430","01282","4","5.55","46.0667"
"219","01","MONTAGNIEU","montagnieu","Montagnieu","01470","01255","1","5.46667","45.8"
"220","01","CHAMPAGNE-EN-VALROMEY","champagne en valromey","Champagne-en-Valromey","01260","01079","1","5.68333","45.9"
"221","01","AMBERIEUX-EN-DOMBES","amberieux en dombes","Ambérieux-en-Dombes","01330","01005","2","4.9","46"
"222","01","LA BOISSE","la boisse","La Boisse","01120","01049","2","5.03333","45.85"
"223","01","PARCIEUX","parcieux","Parcieux","01600","01285","2","4.81667","45.9167"
"224","01","SAINT-DIDIER-D'AUSSIAT","saint didier d aussiat","Saint-Didier-d'Aussiat","01340","01346","2","5.06667","46.3"
"225","01","SAINT-NIZIER-LE-BOUCHOUX","saint nizier le bouchoux","Saint-Nizier-le-Bouchoux","01560","01380","2","5.15","46.45"
"226","01","ARS-SUR-FORMANS","ars sur formans","Ars-sur-Formans","01480","01021","2","4.81667","45.9833"
"227","01","ANGLEFORT","anglefort","Anglefort","01350","01010","1","5.80833","45.9167"
"228","01","CORLIER","corlier","Corlier","01110","01121","1","5.5","46.0333"
"229","01","FERNEY-VOLTAIRE","ferney voltaire","Ferney-Voltaire","01210","01160","3","6.11667","46.25"
"230","01","SAINT-MAURICE-DE-REMENS","saint maurice de remens","Saint-Maurice-de-Rémens","01500","01379","1","5.28333","45.95"
"231","01","CHATILLON-LA-PALUD","chatillon la palud","Châtillon-la-Palud","01320","01092","2","5.25","45.9667"
"232","01","SAINT-SULPICE","saint sulpice","Saint-Sulpice","01340","01387","2","5.04167","46.3203"
"233","01","SAINT-BOIS","saint bois","Saint-Bois","01300","01340","1","5.63333","45.7"
"234","01","VIRIGNIN","virignin","Virignin","01300","01454","1","5.71667","45.7167"
"235","01","PREMILLIEU","premillieu","Prémillieu","01110","01311","1","5.56667","45.8667"
"236","01","GENOUILLEUX","genouilleux","Genouilleux","01090","01169","2","4.78333","46.1167"
"237","01","REYSSOUZE","reyssouze","Reyssouze","01190","01323","2","4.91667","46.4333"
"238","01","COLLONGES","collonges","Collonges","01550","01109","3","5.9","46.1333"
"239","01","SAINT-GERMAIN-DE-JOUX","saint germain de joux","Saint-Germain-de-Joux","01130","01357","4","5.73333","46.1833"
"240","01","BREGNIER-CORDON","bregnier cordon","Brégnier-Cordon","01300","01058","1","5.61667","45.65"
"241","01","SAINT-MARTIN-LE-CHATEL","saint martin le chatel","Saint-Martin-le-Châtel","01310","01375","2","5.11667","46.2833"
"242","01","MARIGNIEU","marignieu","Marignieu","01300","01234","1","5.71667","45.8"
"243","01","LES NEYROLLES","les neyrolles","Neyrolles","01130","01274","4","5.63333","46.1333"
"244","01","SULIGNAT","sulignat","Sulignat","01400","01412","2","4.96667","46.1667"
"245","01","BENY","beny","Bény","01370","01038","2","5.28333","46.3333"
"246","01","INJOUX-GENISSIAT","injoux genissiat","Injoux-Génissiat","01200","01189","4","5.78333","46.05"
"247","01","CHANAY","chanay","Chanay","01420","01082","1","5.78333","46"
"248","01","CHATILLON-SUR-CHALARONNE","chatillon sur chalaronne","Châtillon-sur-Chalaronne","01400","01093","2","4.96667","46.1167"
"249","01","FARGES","farges","Farges","01550","01158","3","5.91667","46.1667"
"250","01","SAINT-ALBAN","saint alban","Saint-Alban","01450","01331","4","5.45","46.1"
"251","01","CURTAFOND","curtafond","Curtafond","01310","01140","2","5.08333","46.2667"
